id,brand,model,year,mileage,fuel_type,transmission,engine_cc,horsepower,doors,color,condition,price
1,Toyota,Camry,2022,12000,Petrol,Automatic,2500,203,4,White,Excellent,28500
2,Toyota,Camry,2020,35000,Petrol,Automatic,2500,203,4,Silver,Good,22000
3,Toyota,Camry,2018,68000,Petrol,Manual,2500,203,4,Black,Good,16500
4,Toyota,Camry,2015,110000,Petrol,Automatic,2500,203,4,Blue,Fair,11000
5,Toyota,Corolla,2023,5000,Petrol,Automatic,1800,139,4,White,Excellent,25000
6,Toyota,Corolla,2021,22000,Petrol,Automatic,1800,139,4,Red,Good,19500
7,Toyota,Corolla,2019,55000,Petrol,Manual,1800,139,4,Silver,Good,14500
8,Toyota,Corolla,2016,95000,Petrol,Manual,1800,139,4,Gray,Fair,9500
9,Honda,Civic,2022,15000,Petrol,Automatic,1500,158,4,White,Excellent,27000
10,Honda,Civic,2020,40000,Petrol,Automatic,1500,158,4,Black,Good,21000
11,Honda,Civic,2018,72000,Petrol,Manual,1500,158,4,Blue,Good,15500
12,Honda,Civic,2015,120000,Petrol,Manual,1500,158,4,Silver,Fair,10000
13,Honda,CR-V,2022,18000,Petrol,Automatic,2000,190,4,White,Excellent,34000
14,Honda,CR-V,2020,45000,Petrol,Automatic,2000,190,4,Gray,Good,27500
15,Honda,CR-V,2018,80000,Petrol,Automatic,2000,190,4,Black,Good,20500
16,Honda,CR-V,2015,130000,Diesel,Automatic,2000,190,4,Blue,Fair,14000
17,BMW,3 Series,2022,10000,Petrol,Automatic,2000,255,4,Black,Excellent,48000
18,BMW,3 Series,2020,38000,Petrol,Automatic,2000,255,4,White,Good,39000
19,BMW,3 Series,2018,70000,Petrol,Automatic,2000,255,4,Silver,Good,28000
20,BMW,3 Series,2015,115000,Petrol,Automatic,2000,255,4,Blue,Fair,18500
21,BMW,5 Series,2022,8000,Petrol,Automatic,3000,335,4,Black,Excellent,62000
22,BMW,5 Series,2020,32000,Petrol,Automatic,3000,335,4,White,Good,50000
23,BMW,5 Series,2018,65000,Petrol,Automatic,3000,335,4,Silver,Good,37000
24,BMW,5 Series,2015,105000,Diesel,Automatic,3000,335,4,Gray,Fair,24000
25,Mercedes,C-Class,2022,9000,Petrol,Automatic,2000,255,4,White,Excellent,55000
26,Mercedes,C-Class,2020,36000,Petrol,Automatic,2000,255,4,Black,Good,44000
27,Mercedes,C-Class,2018,68000,Petrol,Automatic,2000,255,4,Silver,Good,31000
28,Mercedes,C-Class,2015,112000,Diesel,Automatic,2000,255,4,Blue,Fair,20000
29,Mercedes,E-Class,2022,7000,Petrol,Automatic,2500,335,4,Black,Excellent,72000
30,Mercedes,E-Class,2020,28000,Petrol,Automatic,2500,335,4,White,Good,58000
31,Mercedes,E-Class,2018,60000,Petrol,Automatic,2500,335,4,Silver,Good,43000
32,Mercedes,E-Class,2015,98000,Diesel,Automatic,2500,335,4,Gray,Fair,28000
33,Ford,Mustang,2022,14000,Petrol,Automatic,5000,450,2,Red,Excellent,52000
34,Ford,Mustang,2020,42000,Petrol,Automatic,5000,450,2,Black,Good,42000
